Name,PM
Aenictus_yangi,0
Agraulomyrmex_meridionalis,0
Agraulomyrmex_wilsoni,0
Allomerus_brevipilosus,0
Amblyopone_australis,0
Aneuretus_simoni,0
Anillidris_bruchi,0
Anillomyrma_decamera,0
Anillomyrma_tridens,0
Anochetus_armstrongi,0
Anochetus_bispinosus,0
Anochetus_brevis,0
Anochetus_bytinskii,0
Anochetus_cryptus,0
Anochetus_evansi,0
Anochetus_faurei,0
Anochetus_ghilianii,0
Anochetus_graeffei,0
Anochetus_grandidieri,0
Anochetus_hohenbergiae,0
Anochetus_horridus,0
Anochetus_incultus,0
Anochetus_isolatus,0
Anochetus_kempfi,0
Anochetus_leyticus,0
Anochetus_maryatiae,0
Anochetus_mayri,0
Anochetus_micans,0
Anochetus_miserabilis,0
Anochetus_modicus,0
Anochetus_oriens,0
Anochetus_pangantihoni,0
Anochetus_princeps,0
Anochetus_rectangularis,0
Anochetus_risii,0
Anochetus_ruginotus,0
Anochetus_schoedli,0
Anochetus_sedilloti,0
Anochetus_subcoecus,0
Anochetus_taiwaniensis,0
Anochetus_tua,0
Anochetus_turneri,0
Anochetus_validus,0
Anochetus_werneri,0
Anomalomyrma_boltoni,0
Anomalomyrma_helenae,0
Anomalomyrma_taylori,0
Anonychomyrma_itinerans,0
Anonychomyrma_procidua,0
Anoplolepis_braunsi,0
Aphaenogaster_aktaci,0
Aphaenogaster_albisetosa,0
Aphaenogaster_atlantis,0
Aphaenogaster_balcanica,0
Aphaenogaster_barbara,0
Aphaenogaster_barbigula,0
Aphaenogaster_baronii,0
Aphaenogaster_beesoni,0
Aphaenogaster_boulderensis,0
Aphaenogaster_cardenai,0
Aphaenogaster_cecconii,0
Aphaenogaster_crocea,0
Aphaenogaster_dlusskyi,0
Aphaenogaster_edentula,0
Aphaenogaster_ensifera,0
Aphaenogaster_epirotes,0
Aphaenogaster_flemingi,0
Aphaenogaster_floridana,0
Aphaenogaster_gemella,0
Aphaenogaster_holtzi,0
Aphaenogaster_huachucana,0
Aphaenogaster_incurviclypea,0
Aphaenogaster_inermis,0
Aphaenogaster_ionia,0
Aphaenogaster_iranica,0
Aphaenogaster_januschevi,0
Aphaenogaster_koniari,0
Aphaenogaster_lamellidens,0
Aphaenogaster_mariae,0
Aphaenogaster_megommata,0
Aphaenogaster_mexicana,0
Aphaenogaster_miamiana,0
Aphaenogaster_muelleriana,0
Aphaenogaster_nadigi,0
Aphaenogaster_obsidiana,0
Aphaenogaster_ovaticeps,0
Aphaenogaster_pallida,0
Aphaenogaster_phalangium,0
Aphaenogaster_phillipsi,0
Aphaenogaster_picena,0
Aphaenogaster_praedo,0
Aphaenogaster_pumilopuncta,0
Aphaenogaster_punctaticeps,0
Aphaenogaster_pythia,0
Aphaenogaster_rothneyi,0
Aphaenogaster_schmidti,0
Aphaenogaster_semipolita,0
Aphaenogaster_simonellii,0
Aphaenogaster_splendida,0
Aphaenogaster_striativentris,0
Aphaenogaster_subcostata,0
Aphaenogaster_subexaperata,0
Aphaenogaster_subterraneoides,0
Aphaenogaster_testaceopilosa,0
Aphaenogaster_wilsoni,0
Apomyrma_stygia,0
Apterostigma_calverti,0
Apterostigma_collare,0
Apterostigma_dentigerum,0
Apterostigma_goniodes,0
Apterostigma_madidiense,0
Apterostigma_mayri,0
Apterostigma_megacephala,0
Apterostigma_mexicanum,0
Apterostigma_pilosum,0
Apterostigma_steigeri,0
Apterostigma_urichii,0
Aptinoma_antongil,0
Aptinoma_mangabe,0
Asphinctopone_pilosa,0
Atopomyrmex_mocquerysi,0
Atta_bisphaerica,0
Atta_capiguara,0
Atta_cubana,0
Atta_fervens,0
Atta_insularis,0
Atta_laevigata,0
Atta_mexicana,0
Atta_opaciceps,0
Atta_robusta,0
Atta_tardigrada,0
Atta_texana,0
Atta_vollenweideri,0
Austromorium_flavigaster,0
Austromorium_hetericki,0
Azteca_aurita,0
Azteca_barbifex,0
Azteca_beltii,0
Azteca_brevicornis,0
Azteca_brevis,0
Azteca_constructor,0
Azteca_cordincola,0
Azteca_delpini,0
Azteca_diabolica,0
Azteca_fasciata,0
Azteca_instabilis,0
Azteca_juruensis,0
Azteca_laurae,0
Azteca_linamariae,0
Azteca_longiceps,0
Azteca_muelleri,0
Azteca_nigricans,0
Azteca_oecocordia,0
Azteca_salti,0
Azteca_sapii,0
Azteca_schimperi,0
Azteca_sericeasur,0
Azteca_snellingi,0
Azteca_trigona,0
Azteca_ulei,0
Azteca_velox,0
Azteca_xanthochroa,0
Bannapone_mulanae,0
Baracidris_meketra,0
Basiceros_manni,0
Blepharidatta_brasiliensis,0
Blepharidatta_conops,0
Bothriomyrmex_anastasiae,0
Bothriomyrmex_atlantis,0
Bothriomyrmex_communistus,0
Bothriomyrmex_corsicus,0
Bothriomyrmex_decapitans,0
Bothriomyrmex_kusnezovi,0
Bothriomyrmex_meridionalis,0
Bothriomyrmex_paradoxus,0
Bothriomyrmex_saundersi,0
Bothriomyrmex_syrius,0
Bothroponera_pumicosa,0
Bothroponera_rubiginosa,0
Bothroponera_soror,0
Bothroponera_umgodikulula,0
Brachymyrmex_admotus,0
Brachymyrmex_bruchi,0
Brachymyrmex_cavernicola,0
Brachymyrmex_cordemoyi,0
Brachymyrmex_incisus,0
Brachymyrmex_musculus,0
Brachymyrmex_nebulosus,0
Brachymyrmex_pictus,0
Brachymyrmex_santschii,0
Brachyponera_brevidorsa,0
Brachyponera_obscurans,0
Brachyponera_sennaarensis,0
Buniapone_amblyops,0
Calomyrmex_purpureus,0
Calyptomyrmex_beccarii,0
Calyptomyrmex_friederikae,0
Calyptomyrmex_rectopilosus,0
Calyptomyrmex_singalensis,0
Calyptomyrmex_vedda,0
Camponotus_aegaeus,0
Camponotus_aegyptiacus,0
Camponotus_ager,0
Camponotus_albivillosus,0
Camponotus_alboannulatus,0
Camponotus_alii,0
Camponotus_amaurus,0
Camponotus_americanus,0
Camponotus_anderseni,0
Camponotus_annetteae,0
Camponotus_anthrax,0
Camponotus_apicalis,0
Camponotus_arenatus,0
Camponotus_aruensis,0
Camponotus_ashokai,0
Camponotus_asli,0
Camponotus_atlantis,0
Camponotus_atriceps,0
Camponotus_atricolor,0
Camponotus_auriventris,0
Camponotus_aurocinctus,0
Camponotus_aurofasciatus,0
Camponotus_badius,0
Camponotus_baldaccii,0
Camponotus_barbaricus,0
Camponotus_barbatus,0
Camponotus_baronii,0
Camponotus_baynei,0
Camponotus_biolleyi,0
Camponotus_boghossiani,0
Camponotus_brasiliensis,0
Camponotus_breviscapus,0
Camponotus_brutus,0
Camponotus_buddhae,0
