generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2230000,29,89.2921,-3386.74,18.3894,0.325424
2240000,27,89.7652,-3387.14,14.8864,0.3315
2250000,32,100.231,-3357.07,16.7342,0.326871
2260000,35,110.586,-3359.86,21.9872,0.3633
2270000,31,102.66,-3367.89,19.2449,0.330486
2280000,37,136.303,-3358.76,17.3526,0.350775
2290000,31,100.543,-3360.17,17.5081,0.3639
2300000,25,76.6137,-3391.98,12.5455,0.3312
2310000,27,92.0408,-3386.92,12.0967,0.3451
2320000,32,94.7428,-3366.33,21.9173,0.33874
2330000,35,99.1719,-3354.34,19.9366,0.3389
2340000,29,101.905,-3385.27,15.9754,0.3263
2350000,29,92.6874,-3355.05,13.1403,0.3448
2360000,38,121.717,-3374.82,18.5769,0.343771
2370000,33,119.764,-3358.06,14.8315,0.3325
2380000,30,98.3064,-3363.98,21.1967,0.3424
2390000,30,101.723,-3373.74,13.3555,0.3491
2400000,28,89.1109,-3382.87,16.8729,0.3219
2410000,31,106.581,-3351.1,10.9936,0.3385
2420000,24,68.2778,-3374.67,13.2627,0.324511
2430000,28,87.4181,-3379.08,15.306,0.2954
2440000,30,98.8828,-3385.69,15.2736,0.323975
2450000,30,101.708,-3372.73,15.7952,0.32425
2460000,30,104.656,-3374.86,14.0021,0.34405
2470000,33,110.676,-3381.58,11.7787,0.3213
2480000,29,95.9903,-3405.42,14.1168,0.332214
2490000,28,100.92,-3377.27,10.8297,0.3352
2500000,26,94.7066,-3384.46,11.7827,0.321789
2510000,26,89.5297,-3408.66,12.6802,0.32646
2520000,27,96.028,-3383.37,10.3795,0.31335
2530000,29,108.738,-3396.1,8.74777,0.32166
2540000,25,82.0284,-3393.07,17.3862,0.338267
2550000,34,114.585,-3354.35,19.5327,0.3292
2560000,29,83.8634,-3391.39,18.7905,0.33415
2570000,32,105.889,-3362.11,19.1133,0.32404
2580000,30,95.3741,-3381,15.2043,0.3466
2590000,32,104.327,-3379.65,16.468,0.3342
2600000,29,91.2889,-3387.77,12.3715,0.333614
2610000,28,93.5374,-3381.2,12.7594,0.328433
2620000,29,98.6072,-3373.82,15.66,0.3239
2630000,33,110.721,-3369.5,19.3266,0.3381
2640000,31,111.972,-3383.91,13.8132,0.334175
2650000,25,78.774,-3374.55,15.5412,0.333433
2660000,35,137.789,-3370.26,14.8183,0.3267
2670000,32,103.356,-3375.92,17.4368,0.34605
2680000,31,110.093,-3385.04,15.6294,0.3422
2690000,35,110.708,-3361.33,19.2521,0.337267
2700000,33,119.654,-3358.45,10.8076,0.326517
2710000,34,93.8273,-3371.06,16.6222,0.3336
2720000,31,109.435,-3362.65,12.0697,0.330153
2730000,30,96.4742,-3354.96,16.6435,0.3415
2740000,32,101.245,-3357.12,21.6234,0.33078
2750000,33,106.548,-3371.18,12.7477,0.3309
2760000,32,105.406,-3357.63,16.646,0.3367
2770000,28,85.0816,-3376.27,13.3296,0.340489
2780000,29,99.5885,-3358.13,16.3329,0.33155
2790000,33,112.295,-3359.9,15.8911,0.3313
2800000,28,97.7124,-3369.27,11.5853,0.333386
2810000,31,103.541,-3347.81,14.0786,0.3259
2820000,30,101.38,-3374.97,18.1955,0.323675
2830000,30,106.059,-3387.85,13.7204,0.347317
2840000,29,88.1934,-3367.52,18.2767,0.34254
2850000,29,83.6641,-3360.82,13.7516,0.325967
2860000,32,111.986,-3363.87,17.9743,0.34134
2870000,33,106.611,-3377.33,16.1442,0.3188
2880000,32,112.168,-3331.7,12.1155,0.311667
2890000,35,105.383,-3337.17,19.5438,0.3403
2900000,33,105.795,-3364.27,15.5239,0.3431
2910000,33,110.533,-3358.18,13.9662,0.3286
2920000,29,103.554,-3369.43,12.7672,0.340267
2930000,30,103.337,-3370.28,16.9935,0.3488
2940000,29,98.044,-3360.34,13.0594,0.3261
2950000,35,105.28,-3375.94,18.5238,0.336
2960000,25,82.685,-3368.38,13.3754,0.32425
2970000,33,108.402,-3358.91,16.3055,0.34105
2980000,34,122.582,-3360.64,19.4955,0.34015
2990000,36,130.044,-3349.44,17.7803,0.3617
3000000,30,96.5305,-3357.73,16.5241,0.3224
3010000,28,89.1812,-3362.02,15.2554,0.3438
3020000,31,86.3666,-3378.07,17.4266,0.33795
3030000,31,102.519,-3361.52,17.9352,0.33825
3040000,30,108.957,-3364.42,13.1172,0.3396
3050000,29,95.3646,-3359.96,13.674,0.3362
3060000,30,113.546,-3411.77,16.1096,0.341417
3070000,31,98.1827,-3397.81,19.4607,0.3581
3080000,32,108.697,-3367.37,14.7076,0.347833
3090000,34,128.848,-3355.98,16.8044,0.3433
3100000,33,113.692,-3358.95,16.23,0.3364
3110000,32,114.782,-3371.06,14.5326,0.340144
3120000,31,106.382,-3385.83,11.764,0.3418
3130000,32,113.237,-3359.67,18.4881,0.333456
3140000,33,110.299,-3366.98,17.6519,0.33745
3150000,25,71.1261,-3368.98,15.1738,0.32782
3160000,33,101.773,-3380.34,18.8508,0.341244
3170000,30,99.5228,-3359.42,14.3442,0.3273
3180000,28,90.202,-3383.41,17.0608,0.321
3190000,30,106.237,-3367.31,13.8716,0.3167
3200000,35,120.306,-3362.95,12.7521,0.3422
3210000,31,105.887,-3351.95,16.6713,0.325987
3220000,24,79.3112,-3411.11,12.4439,0.342217
3230000,28,96.7523,-3404.18,13.2746,0.3104
3240000,27,89.1812,-3385.64,12.8933,0.3393
3250000,28,99.1225,-3385.58,15.6023,0.3215
3260000,30,91.9878,-3368.68,21.9971,0.34206
3270000,34,112.602,-3364.74,19.1404,0.331025
3280000,33,104.922,-3374.87,19.8186,0.3398
3290000,34,105.276,-3361.46,19.4203,0.3427
3300000,31,91.4083,-3369.92,17.6388,0.32326
3310000,28,97.5149,-3378.94,12.6153,0.3259
3320000,32,102.999,-3364.86,15.3957,0.332112
3330000,29,107.245,-3389.2,14.8351,0.3405
3340000,31,114.493,-3398.17,14.5485,0.3429
3350000,28,100.542,-3378.91,11.5952,0.328911
3360000,29,93.6485,-3371.04,16.4312,0.319375
3370000,30,94.7322,-3358.11,16.0373,0.333314
3380000,32,115.316,-3367.05,16.6771,0.3298
3390000,31,107.869,-3380.27,14.7858,0.33496
3400000,29,93.4002,-3364.26,19.3472,0.3333
3410000,30,115.48,-3382.74,11.6196,0.339
3420000,29,94.2927,-3371.18,11.6335,0.3281
3430000,25,70.5111,-3376.7,17.7001,0.321983
