,i,lambda0,lambda1,mu0,mu1,q01,q10,p,div0,div1
131,131,0.148248962,0.51311429,0.158454715,0.14055146,0.008553629,0.406435374,-3829.414999,-0.010205753,0.37256283
132,132,0.157159638,0.516080483,0.156383729,0.140360399,0.010459679,0.411569422,-3828.287261,0.000775909,0.375720085
133,133,0.152236002,0.513685698,0.152452301,0.139585582,0.010627659,0.406762153,-3828.045381,-0.000216299,0.374100115
134,134,0.152906943,0.501511254,0.156964,0.131021027,0.009231763,0.39010179,-3827.673658,-0.004057057,0.370490226
135,135,0.152606749,0.492133795,0.152676905,0.119779182,0.008586713,0.399209693,-3826.8063,-7.01568E-05,0.372354613
136,136,0.148604964,0.496282213,0.148663775,0.121132682,0.007640862,0.386633282,-3827.267097,-5.88115E-05,0.375149531
137,137,0.145070398,0.49727627,0.149701779,0.127481557,0.008250957,0.393888113,-3826.932713,-0.004631381,0.369794713
138,138,0.150922081,0.497990849,0.15111348,0.126734692,0.008860211,0.392088308,-3826.831635,-0.000191399,0.371256157
139,139,0.142296808,0.500796074,0.143343024,0.128555387,0.008481973,0.387388668,-3827.048332,-0.001046216,0.372240688
140,140,0.149739882,0.499432594,0.147097273,0.137519309,0.010114294,0.392876655,-3827.594108,0.002642608,0.361913285
141,141,0.146210988,0.50134615,0.144843675,0.14133425,0.009426015,0.37408842,-3828.654829,0.001367313,0.3600119
142,142,0.145358301,0.492350078,0.149894109,0.145208071,0.009341126,0.374735214,-3827.544633,-0.004535808,0.347142006
143,143,0.150031398,0.494742993,0.147390612,0.14310006,0.009703526,0.385609978,-3827.815252,0.002640786,0.351642933
144,144,0.144163419,0.494107697,0.150186827,0.142810504,0.010077255,0.387734888,-3828.447692,-0.006023408,0.351297193
145,145,0.147897075,0.501570173,0.150761748,0.144006266,0.00914563,0.377362777,-3827.297387,-0.002864673,0.357563907
146,146,0.144917634,0.506776821,0.140891375,0.149245953,0.009825416,0.381171256,-3827.691078,0.004026259,0.357530868
147,147,0.142997631,0.506325712,0.1401135,0.146917764,0.008152984,0.378070654,-3827.115947,0.002884131,0.359407948
148,148,0.140088255,0.502717218,0.136476095,0.139828006,0.007946192,0.375917082,-3827.306576,0.00361216,0.362889212
149,149,0.134023374,0.503564466,0.136778854,0.140928259,0.007035648,0.37860644,-3828.647743,-0.00275548,0.362636207
150,150,0.129834205,0.505929432,0.140054007,0.138321148,0.006550778,0.382683104,-3831.15751,-0.010219803,0.367608284
151,151,0.123970623,0.511765864,0.115502128,0.134233959,0.0085281,0.39205116,-3828.875181,0.008468495,0.377531904
152,152,0.126094547,0.514529787,0.135649521,0.139451126,0.009690104,0.416773842,-3829.943104,-0.009554974,0.375078661
153,153,0.139414991,0.514910891,0.145113436,0.120256905,0.009274462,0.423927083,-3826.940558,-0.005698444,0.394653985
154,154,0.131877622,0.511927736,0.147284266,0.118093513,0.009667018,0.427857258,-3828.85018,-0.015406644,0.393834223
155,155,0.150079744,0.513389017,0.161559894,0.118247701,0.009639764,0.428974148,-3827.836415,-0.011480149,0.395141316
156,156,0.149755764,0.520622829,0.148427891,0.127733947,0.010655665,0.42749778,-3828.643504,0.001327874,0.392888881
157,157,0.148755744,0.51838729,0.149187772,0.133681342,0.010415734,0.413988171,-3828.148971,-0.000432027,0.384705948
158,158,0.150958153,0.500430631,0.154695827,0.129230952,0.010450865,0.390443757,-3830.24839,-0.003737674,0.371199679
159,159,0.15140106,0.491894747,0.157143592,0.128186328,0.007894274,0.379949886,-3827.313485,-0.005742531,0.363708419
160,160,0.142842749,0.500348226,0.146620724,0.145899768,0.01033784,0.392610016,-3828.00029,-0.003777975,0.354448458
161,161,0.145254339,0.506014401,0.142406698,0.142261529,0.009151144,0.393542419,-3827.257092,0.002847641,0.363752872
162,162,0.138140898,0.515326517,0.134927806,0.151854947,0.008929293,0.38212158,-3827.327793,0.003213092,0.36347157
163,163,0.133805437,0.518677107,0.134692774,0.15398997,0.009065432,0.378924897,-3828.174842,-0.000887337,0.364687138
164,164,0.135174926,0.518911621,0.13285593,0.169151414,0.008694356,0.369861725,-3827.293123,0.002318997,0.349760207
165,165,0.135876977,0.519499679,0.125696931,0.168367502,0.009321392,0.366113649,-3829.391689,0.010180046,0.351132177
166,166,0.131990055,0.51685757,0.127401318,0.169091297,0.009552928,0.366468575,-3827.735434,0.004588738,0.347766273
167,167,0.13092955,0.515231332,0.1254653,0.18319523,0.010538982,0.364095932,-3828.150394,0.00546425,0.332036101
168,168,0.125224962,0.518714827,0.13157867,0.186298551,0.009823363,0.360993004,-3829.295252,-0.006353707,0.332416276
169,169,0.133745663,0.52764256,0.129725177,0.197859022,0.010747284,0.350453858,-3829.350299,0.004020486,0.329783537
170,170,0.125700062,0.524361515,0.134172904,0.192713579,0.008451198,0.343955862,-3831.19303,-0.008472842,0.331647936
171,171,0.142373701,0.511913096,0.143297452,0.180157642,0.008038342,0.351263045,-3828.156575,-0.000923751,0.331755454
172,172,0.146918313,0.514010465,0.147471451,0.177726312,0.00834061,0.353534148,-3827.710931,-0.000553137,0.336284153
173,173,0.152668208,0.507600417,0.15160805,0.172765241,0.009766272,0.369857909,-3828.614648,0.001060158,0.334835175
174,174,0.149034282,0.528333528,0.153690155,0.198745014,0.010710523,0.358141174,-3829.470282,-0.004655873,0.329588515
175,175,0.152535383,0.522634623,0.151342842,0.200910039,0.010296756,0.359855127,-3829.64408,0.001192542,0.321724584
176,176,0.152060769,0.538893199,0.146247401,0.212768619,0.010427698,0.360997489,-3829.336735,0.005813368,0.326124581
177,177,0.141996753,0.544076981,0.138193757,0.213425016,0.009595071,0.351676612,-3828.395481,0.003802996,0.330651965
178,178,0.140743734,0.543368812,0.139770117,0.205371097,0.008729384,0.349138078,-3829.318064,0.000973617,0.337997714
179,179,0.140912028,0.535387148,0.142787542,0.207675105,0.009142664,0.347709738,-3828.504483,-0.001875514,0.327712043
180,180,0.148114028,0.525205469,0.149365553,0.209335773,0.009220169,0.341821633,-3828.992748,-0.001251525,0.315869696
181,181,0.155520932,0.532907843,0.153675543,0.202677646,0.006501309,0.337247405,-3830.67073,0.001845388,0.330230197
182,182,0.158311031,0.539404366,0.151332152,0.212305439,0.009005446,0.35207321,-3829.304917,0.006978878,0.327098927
183,183,0.145626581,0.553987965,0.141925843,0.231668091,0.009323302,0.352053747,-3829.078175,0.003700738,0.322319874
184,184,0.140928318,0.56265935,0.135547608,0.235309152,0.010774614,0.354494909,-3829.370564,0.00538071,0.327350197
185,185,0.135897488,0.557742229,0.138080082,0.227793016,0.009089461,0.358624064,-3829.381406,-0.002182594,0.329949212
186,186,0.140225004,0.563313365,0.12870024,0.225603664,0.009941162,0.366219277,-3830.733234,0.011524763,0.337709701
187,187,0.138090153,0.564927704,0.141682712,0.232476537,0.011337229,0.360644625,-3830.100048,-0.003592559,0.332451168
188,188,0.136225817,0.570184749,0.141770788,0.249597041,0.012120478,0.369845028,-3832.06162,-0.005544971,0.320587707
189,189,0.146173001,0.571417996,0.142577306,0.247600006,0.012772605,0.367493734,-3830.856689,0.003595695,0.32381799
190,190,0.142722882,0.569491844,0.139639531,0.250737583,0.011146467,0.345061301,-3830.068288,0.003083351,0.318754261
191,191,0.141874156,0.561515247,0.138690179,0.24284731,0.011643801,0.346812029,-3830.386421,0.003183977,0.318667937
192,192,0.139940893,0.550610253,0.13097619,0.237876474,0.009679157,0.343478361,-3829.952849,0.008964703,0.31273378
193,193,0.145696008,0.559866506,0.135422934,0.238948439,0.009103743,0.345382756,-3830.245915,0.010273074,0.320918067
194,194,0.146406987,0.559993914,0.145260453,0.23004787,0.008599559,0.348239469,-3828.974042,0.001146534,0.329946043
195,195,0.148017497,0.553358308,0.151389127,0.221497471,0.00975328,0.349556896,-3830.114409,-0.00337163,0.331860837
196,196,0.160707547,0.533828802,0.158799091,0.224060281,0.01036106,0.325133942,-3832.507771,0.001908456,0.30976852
197,197,0.158518978,0.523497262,0.158468068,0.222171234,0.009109949,0.316459743,-3830.718393,5.091E-05,0.301326028
198,198,0.162500598,0.518952647,0.157590945,0.214433619,0.007414413,0.323651884,-3830.851013,0.004909653,0.304519029
199,199,0.160620939,0.514002475,0.161835805,0.20308687,0.008001587,0.334391575,-3830.354006,-0.001214866,0.310915606
200,200,0.159740131,0.513939375,0.157027623,0.192333443,0.007940629,0.340883212,-3828.794081,0.002712509,0.321605932
201,201,0.158420502,0.520184015,0.150941963,0.189351832,0.00831443,0.34205597,-3829.459732,0.007478538,0.330832183
202,202,0.154002709,0.498811516,0.147287219,0.15568904,0.008302645,0.370995919,-3829.079182,0.00671549,0.343122477
203,203,0.155666251,0.500909076,0.152074974,0.136658276,0.008157039,0.380590956,-3827.52166,0.003591276,0.3642508
204,204,0.148815616,0.500849696,0.145077202,0.141088554,0.008130604,0.372757295,-3827.470539,0.003738414,0.359761142
205,205,0.147135997,0.497018159,0.145548405,0.138057806,0.00721444,0.371891262,-3827.521318,0.001587593,0.358960353
206,206,0.146425252,0.494395276,0.149828478,0.13776144,0.00756261,0.377299259,-3827.686673,-0.003403226,0.356633836
207,207,0.151488658,0.498717739,0.150984428,0.135273797,0.007726937,0.386744552,-3827.612989,0.00050423,0.363443942
208,208,0.139733211,0.498793289,0.135290982,0.125134682,0.008961699,0.386605262,-3828.149604,0.004442229,0.373658607
209,209,0.137516971,0.489063299,0.142374073,0.127384805,0.009420669,0.396753602,-3827.807756,-0.004857102,0.361678494
210,210,0.14531424,0.509179263,0.145862644,0.151456392,0.011650544,0.397347219,-3828.540463,-0.000548404,0.357722871
211,211,0.143207581,0.502408253,0.141480741,0.138390024,0.008659632,0.36582744,-3831.374001,0.001726841,0.364018229
212,212,0.142348092,0.476665695,0.146693554,0.123756993,0.008628502,0.384797575,-3828.547475,-0.004345462,0.352908701
213,213,0.150223419,0.496358205,0.151073587,0.136541803,0.00875728,0.385699441,-3826.822506,-0.000850168,0.359816401
214,214,0.149314693,0.489007485,0.141010619,0.127708335,0.00874663,0.385313624,-3828.247867,0.008304074,0.36129915
215,215,0.134757073,0.489008571,0.131148208,0.122563548,0.008109806,0.379817728,-3826.804629,0.003608866,0.366445024
216,216,0.134626548,0.496196645,0.135160531,0.125843601,0.007244874,0.384117829,-3827.562699,-0.000533983,0.370353043
217,217,0.134622109,0.507621213,0.135712958,0.142579964,0.008148956,0.384829727,-3827.08743,-0.001090849,0.365041248
218,218,0.144383116,0.510949194,0.1471645,0.142293046,0.009442959,0.38930978,-3827.455061,-0.002781384,0.368656148
219,219,0.148021952,0.50731881,0.144648723,0.145879124,0.008571576,0.385083796,-3827.234577,0.00337323,0.361439686
220,220,0.138986385,0.51214319,0.134515545,0.140289686,0.008970838,0.406460082,-3828.613955,0.00447084,0.371853504
221,221,0.140364544,0.518168422,0.150764835,0.142296911,0.010562902,0.410582186,-3828.178949,-0.010400291,0.375871511
222,222,0.140647511,0.514072932,0.132519486,0.138067125,0.009524767,0.405638561,-3828.84449,0.008128025,0.376005807
223,223,0.136496945,0.514051737,0.141912849,0.136484013,0.00927227,0.409372663,-3827.188599,-0.005415904,0.377567724
224,224,0.131438327,0.521250871,0.130376017,0.13811629,0.011700126,0.432043266,-3828.867727,0.00106231,0.383134581
225,225,0.123305635,0.529009716,0.138626891,0.132448395,0.009871514,0.43016256,-3829.281385,-0.015321256,0.396561321
226,226,0.130301456,0.53268152,0.131656983,0.126542107,0.010251555,0.431820209,-3829.036933,-0.001355527,0.406139413
227,227,0.12077884,0.52969305,0.120286352,0.130510251,0.009742055,0.424704484,-3828.497596,0.000492489,0.3991828
228,228,0.118243665,0.517362991,0.122821347,0.109777141,0.007751006,0.426200258,-3829.405409,-0.004577681,0.40758585
229,229,0.126503777,0.510200051,0.135036296,0.097131251,0.007935052,0.445177124,-3829.752395,-0.008532519,0.413068801
230,230,0.121498786,0.520430911,0.134254845,0.099291304,0.00810488,0.443828443,-3829.521239,-0.01275606,0.421139608
